Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
ODI # 1,Australia,England,Winner2ndInning,Melbourne,"Jan 5, 1971",Australia,Australia,Home,Away,Second,First
ODI # 2,England,Australia,Winner2ndInning,Manchester,"Aug 24, 1972",England,England,Home,Away,Second,First
ODI # 3,England,Australia,Winner2ndInning,Lord's,"Aug 26, 1972",Australia,England,Home,Away,First,Second
ODI # 4,England,Australia,Winner2ndInning,Birmingham,"Aug 28, 1972",England,England,Home,Away,Second,First
ODI # 5,New Zealand,Pakistan,Winner1stInning,Christchurch,"Feb 11, 1973",New Zealand,New Zealand,Home,Away,First,Second
ODI # 6,England,New Zealand,Winner2ndInning,Swansea,"Jul 18, 1973",England,England,Home,Away,Second,First
ODI # 8,England,West Indies,Winner2ndInning,Leeds,"Sep 5, 1973",England,England,Home,Away,Second,First
ODI # 9,England,West Indies,Winner2ndInning,The Oval,"Sep 7, 1973",West Indies,England,Home,Away,First,Second
ODI # 10,New Zealand,Australia,Winner2ndInning,Dunedin,"Mar 30, 1974",Australia,New Zealand,Home,Away,First,Second
ODI # 11,New Zealand,Australia,Winner1stInning,Christchurch,"Mar 31, 1974",Australia,New Zealand,Home,Away,Second,First
ODI # 12,England,India,Winner2ndInning,Leeds,"Jul 13, 1974",England,England,Home,Away,Second,First
ODI # 13,England,India,Winner2ndInning,The Oval,"Jul 15-16, 1974",England,England,Home,Away,Second,First
ODI # 14,England,Pakistan,Winner2ndInning,Nottingham,"Aug 31, 1974",Pakistan,England,Home,Away,First,Second
ODI # 15,England,Pakistan,Winner2ndInning,Birmingham,"Sep 3, 1974",Pakistan,England,Home,Away,First,Second
ODI # 16,Australia,England,Winner2ndInning,Melbourne,"Jan 1, 1975",England,Australia,Home,Away,First,Second
ODI # 19,England,India,Winner1stInning,Lord's,"Jun 7, 1975",England,England,Home,Away,First,Second
ODI # 20,East Africa,New Zealand,Winner1stInning,Birmingham,"Jun 7, 1975",New Zealand,England,Neutral,Neutral,Second,First
ODI # 21,Australia,Pakistan,Winner1stInning,Leeds,"Jun 7, 1975",Australia,England,Neutral,Neutral,First,Second
ODI # 22,Sri Lanka,West Indies,Winner2ndInning,Manchester,"Jun 7, 1975",West Indies,England,Neutral,Neutral,First,Second
ODI # 23,England,New Zealand,Winner1stInning,Nottingham,"Jun 11, 1975",England,England,Home,Away,First,Second
ODI # 24,East Africa,India,Winner2ndInning,Leeds,"Jun 11, 1975",India,England,Neutral,Neutral,First,Second
ODI # 25,Australia,Sri Lanka,Winner1stInning,The Oval,"Jun 11, 1975",Australia,England,Neutral,Neutral,First,Second
ODI # 26,Pakistan,West Indies,Winner2ndInning,Birmingham,"Jun 11, 1975",West Indies,England,Neutral,Neutral,First,Second
ODI # 27,England,East Africa,Winner1stInning,Birmingham,"Jun 14, 1975",England,England,Home,Away,First,Second
ODI # 28,India,New Zealand,Winner2ndInning,Manchester,"Jun 14, 1975",New Zealand,England,Neutral,Neutral,First,Second
